regulator	target	beta.sign.sum	prior
RELB	DUSP5	12	0
PROP1	CD209	12	0
STAT2	NAPA	12	1
YY2	PDYN	-12	0
STAT2	APOL2	12	1
STAT2	SECTM1	12	1
PPARD	BATF2	12	0
IRF9	AXUD1	12	1
YY2	pIgR	-12	0
ARNT2	MYC	12	0
HOXB3	TNFAIP2	-12	0
JUN	HSH2D	12	0
CDX2	CDK6	-12	0
IRF8	ANKFY1	12	1
ETV4	MYLK	-12	0
PROP1	PSCD1	-12	0
PLAGL1	MTHFD2L	-12	1
HOXB3	HLA-E	-12	0
CREB1	NR1I3	-12	1
ELF1	AXUD1	-12	1
PLAGL1	MTHFR	12	1
NRF1	VEGFC	-12	1
FOXA3	C9orf91	12	0
ARNTL2	EXT1	-12	0
SMARCC1	F3	12	1
JUN	C4A	12	1
TERF2	SOD2	-12	0
YY1	PLEKHA4	-12	1
STAT2	TGM1	12	0
PAX6	PPARD	-12	0
OLIG3	IFI27	-12	0
HES1	PXK	12	1
STAT2	BCL2	12	1
ERG	RAG1	-12	0
GATA6	BCL2	12	0
RELB	NR4A3	12	1
STAT2	TMEM140	12	0
YY2	AFP	-12	0
CEBPG	FN1	12	0
PROP1	CASP4	12	0
STAT2	IFI27	12	0
STAT2	HLA-C	12	1
YY2	CR2	-12	0
WT1	HAS1	-12	1
TEF	SMAD3	-12	0
JDP2	RGS1	12	0
RELB	CXCL11	12	0
IRF7	ZNF313	12	0
ZNF76	BAG1	-12	0
SPZ1	C3	12	1
HIC2	MVK	12	1
PPARD	TRIM14	12	1
HES2	HLA-B	-12	0
TFAP4	PTAFR	12	1
MYC	GRIN1	12	1
ZSCAN10	MDK	-12	0
MYC	KCNK5	12	1
REL	PTGS2	12	0
NRL	TRIM14	12	0
HES1	YY1	12	1
ELF2	PPARD	12	1
TWIST1	THOC4	12	1
RFX1	NR1D1	-12	1
AHR	MB21D1	12	0
MLXIPL	PRKCE	-12	1
ZNF76	TP53	12	1
THRB	CCDC92	12	1
ESRRG	VEGFC	-12	1
CTCFL	TFPI2	12	1
TCFL5	CRY1	12	1
SPI1	TREM1	12	1
YY1	ESRRB	-12	1
ZFX	S100A4	-12	1
RARG	GCNT1	-12	1
REL	CXCL1	12	1
PAX5	AGER	12	1
RARA	IL17C	12	1
MAFF	DCTN4	12	1
KLF4	GCNT1	12	1
ZNF263	TBX3	11	1
ZNF263	ABCG8	11	0
ZNF263	TERT	11	1
ZNF263	CREB3L3	11	1
IRF9	GCH1	11	0
STAT2	PPM1K	11	1
ZNF263	ZNF385B	11	1
IRF9	PSME2	11	1
TEF	CD209	-11	0
STAT2	PML	11	1
RXRA	IRF3	11	1
STAT2	Slfn2	11	0
YY2	PENK	-11	0
RELB	TNIP1	11	1
ZNF263	IRF6	11	1
IRF5	MASTL	11	0
ZNF263	SELP	11	1
ZNF263	RXRG	11	1
ZNF263	GJB1	11	1
STAT2	TRIM5	11	1
MYPOP	SAT1	-11	0
STAT2	TRIM25	11	1
MAFG	MAP3K5	11	1
RFX2	CD40	-11	0
YY2	LEF1	-11	1
FOXA1	ADAM19	-11	0
GLI3	ABTB2	-11	1
PROX1	NUAK2	11	0
RFX2	FBXO6	-11	0
STAT2	ABTB2	11	1
STAT2	NMI	11	1
KDM2B	FSTL3	11	1
STAT2	IL15	11	1
PROP1	EBI3	-11	0
IRF7	SP110	11	0
TERF2	CASP4	-11	0
PBX3	NR2C2	-11	1
PROP1	MIR155	-11	0
IRF7	FAM46A	11	1
IRF7	NT5C3	11	0
ARID3B	CD9	11	0
NFKB1	MIR155	11	0
STAT5A	TAGAP	11	0
TFAP2D	ERVWE1	-11	0
ARID3B	CD163	11	0
PROP1	CYP27B1	-11	0
SIX1	SECTM1	11	0
KLF4	PTX3	-11	0
RELA	NFKBIZ	11	1
IRF7	PCTK2	11	0
THAP1	HES4	11	1
ZBTB4	NR6A1	-11	1
THAP1	NFKBIB	11	1
OLIG3	SERPING1	-11	0
PPARD	TMEM140	11	0
YY2	KCNN2	-11	0
CREB1	TF	-11	0
IRF2	SSBP3	-11	0
STAT2	LY6E	11	1
HIF1A	S100A10	-11	1
IRF8	ERLIN1	-11	0
PROP1	PDGFRL	-11	0
FOXA3	MARCKS	11	0
FOXO1	LAP3	-11	1
THAP1	NFKBIE	11	1
PPARD	SCARB2	11	0
DNMT1	BGN	-11	1
KLF7	CD44	-11	1
STAT2	KIAA1618	11	1
EBF1	ABCB9	11	1
HSF2	JUNB	-11	0
E2F2	APOBEC3B	11	1
RFX2	RORA	11	1
MYC	CCL17	11	1
CEBPD	KRT3	-11	0
RELB	APOL2	11	0
STAT5A	CCR1	11	0
MYC	ARFRP1	11	1
CREB5	IFIT2	-11	0
ZIC4	APOE	11	1
JUN	RNF19B	11	1
AHR	BATF2	11	0
NR6A1	RXRB	11	0
STAT5A	LTB	11	0
ARNTL2	IL17RB	11	0
MEF2A	STAT5B	-11	1
MNT	FAM125B	11	1
ETV7	CTSL1	11	0
NR1H2	CSF1	11	0
KLF16	DPYD	-11	1
CEBPB	THRB	11	0
FOSL1	STAP1	-11	0
TFAP4	NUP50	-11	1
RFX1	CCL18	-11	0
IRF1	SERPINA1	11	1
TCF12	MT1H	-11	0
SMARCC1	SERPINE1	11	1
NFE2L2	NQO1	11	1
ELF1	CREB3	-11	1
NFKB1	IL8	11	1
LMO2	PLCG1	11	1
E2F2	SLC11A2	-11	1
RXRA	HLA-B	11	1
ZBTB7B	KLF10	11	1
MYOG	HPSE	11	1
EGR1	TNF	-11	1
AHR	TRIM21	11	0
ARNT	ELF1	11	0
RXRA	NFKBIB	11	1
KLF3	TLR9	11	1
TP73	MADCAM1	11	1
REL	TAPBP	11	1
SPI1	CCL3	11	1
MTF1	IER3	-11	1
STAT5B	GRIN1	11	1
ZEB1	HIF1A	-11	1
ETV7	ACACA	-11	1
THRB	IGHG2	11	1
RREB1	EPHA1	11	1
CTCFL	BMP2	11	1
CENPB	BNIP3	11	1
HEY2	DUSP1	11	1
HBP1	MT1H	11	1
HEY2	TXNIP	-11	1
ARNT	ABCB1	11	1
ZNF219	TIFA	11	1
EGR1	PFKFB3	-11	1
JUNB	NQO1	11	1
ZNF263	SERPINA3	10	0
CTCF	RORC	10	1
SP1	NR2E3	10	1
ZNF263	XDH	10	0
ZNF263	MUC2	10	1
IRF7	APOL1	10	1
PLAGL1	PTS	-10	0
STAT2	HES4	10	0
NFKB1	TRAF1	10	1
RELB	TRAF1	10	1
PLAGL1	UNC93B1	10	1
CTCF	HBE1	10	1
RELA	BCL2A1	10	0
THAP1	TYMP	10	0
ZNF589	CCDC109B	10	1
ETV4	STAT3	10	0
IRF2	NR4A3	10	1
PLAGL1	C4A	10	1
JUN	RELA	10	1
PLAGL1	SREBP1	10	1
ZNF263	LTF	10	1
ENO1	G6PD	10	1
ARID3B	APOE	10	0
NFYB	OGFR	-10	0
PPARD	NAPA	10	1
PROP1	BLNK	10	0
IRF9	IRF7	10	1
GATA6	PRAME	10	0
HOXB3	RELB	-10	0
ETV5	RBCK1	-10	1
BATF	CD44	10	1
STAT2	NR4A3	10	1
RXRA	NAPA	10	1
IRF7	KIAA1618	10	1
NFKB1	IL6	10	0
TCF12	ARFRP1	-10	1
PROP1	PPM1K	-10	0
STAT2	IFITM3	10	1
EGR2	PPARG	10	1
ELF1	HES4	-10	1
STAT5A	CCND3	10	1
IRF2	SERPINB9	10	0
THAP1	TRAF2	10	1
PAX6	FCGRT	-10	0
HOXB3	IRF8	-10	0
MXI1	NR5A2	-10	0
FOXO1	IRF7	-10	0
RELB	GBP4	10	0
YY2	ENPP1	-10	0
IRF1	IRF8	10	0
RXRA	HLA-G	10	0
ZIC1	BCL2L1	10	1
YY1	NRN1	-10	1
ZFX	SAMHD1	-10	1
NFATC3	POMC	-10	0
MLXIPL	NAMPT	-10	0
GATA6	IL2RA	10	0
NR6A1	SSBP3	10	0
RELA	B4GALT5	10	1
FOXH1	CYP2E1	10	0
ZSCAN10	PXK	10	0
ELF2	MAP4K1	10	1
ARNTL2	MAFF	-10	1
STAT2	ATF3	10	1
STAT2	EPSTI1	10	1
